date,id,n1,n2,n3,n4,n5,n6
2018-01-10,231,6,18,21,22,37,45
2018-01-12,232,4,8,17,23,27,34
2018-01-14,233,1,6,10,29,32,41
2018-01-17,234,9,10,12,22,27,41
2018-01-19,235,2,4,27,28,31,36
2018-01-21,236,1,10,11,24,32,37
2018-01-24,237,5,6,24,33,42,45
2018-01-26,238,1,9,18,28,36,44
2018-01-28,239,12,26,27,33,36,37
2018-01-31,240,4,7,9,10,30,40
2018-02-02,241,2,7,14,28,42,45
2018-02-04,242,1,5,13,27,40,45
2018-02-07,243,5,7,18,26,30,36
2018-02-09,244,2,10,14,19,23,37
2018-02-11,245,5,19,27,32,41,45
2018-02-14,246,12,31,32,34,35,43
2018-02-18,247,1,5,14,16,36,38
2018-02-21,248,18,23,24,26,29,33
2018-02-23,249,5,16,19,23,29,37
2018-02-25,250,8,10,12,29,30,42
2018-02-28,251,17,19,21,23,36,40
2018-03-02,252,3,7,15,27,41,45
2018-03-04,253,4,11,19,25,32,40
2018-03-07,254,8,19,25,31,37,40
2018-03-09,255,5,10,13,19,25,44
2018-03-11,256,1,14,19,26,41,42
2018-03-14,257,12,21,23,27,31,34
2018-03-16,258,6,8,13,17,20,34
2018-03-18,259,14,21,24,28,31,40
2018-03-21,260,6,19,38,40,41,44
2018-03-23,261,3,6,12,22,26,35
2018-03-25,262,4,10,13,22,38,42
2018-03-28,263,12,18,31,34,35,42
2018-03-30,264,7,11,18,28,34,43
2018-04-01,265,4,12,24,33,39,43
2018-04-04,266,2,3,6,16,41,44
2018-04-06,267,1,7,8,9,36,40
2018-04-08,268,2,5,11,16,30,34
2018-04-11,269,7,20,23,25,26,39
2018-04-13,270,11,22,24,33,38,43
2018-04-15,271,3,9,13,20,30,34
2018-04-18,272,6,16,28,29,39,44
2018-04-20,273,6,9,14,30,33,42
2018-04-22,274,6,7,22,32,36,39
2018-04-25,275,4,15,17,23,29,43
2018-04-27,276,10,20,24,27,28,29
2018-04-29,277,3,10,22,23,25,43
